channel_id,topic_categories,thumbnail_url
UCxh9zeZg-YQvNhwUcOqE2nQ,"{""https://en.wikipedia.org/wiki/Electronic_music"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/FVdhb_piW_U/hqdefault.jpg
UCQTecV2bMNvULSLZHz1Tqzw,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Pet"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/zlHbMlsBdoQ/hqdefault.jpg
UCkuoWSLw-SNu8dvVCU0MjMQ,"{""https://en.wikipedia.org/wiki/Television_program"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/FRqd9dk0-QQ/hqdefault.jpg
UCtlkXFj7WE0cOBQDhUzxlvA,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/eyBH4206Ekg/hqdefault.jpg
UC7WbqYS9crbFsZYZN712Ilg,"{""https://en.wikipedia.org/wiki/Knowledge""}",https://img.youtube.com/vi/BdQY462PjW0/hqdefault.jpg
UCa_MoUWv_48WGQvk8aycL8w,"{""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/3vUMWyVsNYQ/hqdefault.jpg
UCKA7SQOUkD1_z5lr016Q70w,"{""https://en.wikipedia.org/wiki/Food"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/3ch3BSHX76I/hqdefault.jpg
UCFi5Nn5I5sD3FrxOD12PS1Q,"{""https://en.wikipedia.org/wiki/Knowledge"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/9XHGBb2nedE/hqdefault.jpg
UCgVefcZg-J_kIf78fIl6Qpw,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/cqJuIu9wMVg/hqdefault.jpg
UCHCCA-XX30GUBXRdi0fSy-A,"{""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Electronic_music""}",https://img.youtube.com/vi/PzjayezfjBA/hqdefault.jpg
UCuc40qp1ZKB_ZbDw9iml8Kg,"{""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/mDgojRd0pEQ/hqdefault.jpg
UCRfAlgk_gVzasFOVhzmWgzw,"{""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Electronic_music""}",https://img.youtube.com/vi/uorqDLmXBqs/hqdefault.jpg
UCEd6phsllb61j7z9SsYXuiQ,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/WxagrTg3QF8/hqdefault.jpg
UCcGHdo-4B2kkVxvyG9POiJg,"{""https://en.wikipedia.org/wiki/Sport"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Association_football""}",https://img.youtube.com/vi/M4pOmqPQUvo/hqdefault.jpg
UCpEEcJhBig2GqUFxcXjqiLg,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Rock_music""}",https://img.youtube.com/vi/fWJPtDHcDpA/hqdefault.jpg
UCVd1jcy6wKFzfQ5E-Txtg-w,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Sport"",""https://en.wikipedia.org/wiki/Association_football""}",https://img.youtube.com/vi/rSAr1WMwamw/hqdefault.jpg
UCOLdaAcrdzYY3ug15EuuFAg,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Food""}",https://img.youtube.com/vi/k0LPXB84Qwg/hqdefault.jpg
UCt6YDKnJjEUvoDWISjIHELA,"{""https://en.wikipedia.org/wiki/Film"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/6wERL1kwq0c/hqdefault.jpg
UCfYQW_0xEVwKfePgWRxTYhg,"{""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Film""}",https://img.youtube.com/vi/BH2lfKZZUzg/hqdefault.jpg
UC32REZrjSbAr4XqsrzqAKMA,"{""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Entertainment"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/EVtvUZ66k9I/hqdefault.jpg
UCNO4dUilYfOikKlcbk5uBTg,"{""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Electronic_music""}",https://img.youtube.com/vi/_Mtc5Qdd3Jc/hqdefault.jpg
UCT6O1FZ1sLebFij0JLsJ4IA,"{""https://en.wikipedia.org/wiki/Hobby"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Pet""}",https://img.youtube.com/vi/YoyiENSRyok/hqdefault.jpg
UCJcnTGW-dIfWdWSdjFj1EQQ,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Performing_arts"",""https://en.wikipedia.org/wiki/Society"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/b5SnXDRtaLo/hqdefault.jpg
UCcxT_WV5KM4tD0q_ratsOug,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Pet"",""https://en.wikipedia.org/wiki/Entertainment""}",https://img.youtube.com/vi/TFVff3aARMI/hqdefault.jpg
UC6RBaKFwqi1f4D87pBdVZGw,"{""https://en.wikipedia.org/wiki/Technology"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/t0Mlma1qVHQ/hqdefault.jpg
UCCkYgFAN0Q2NtJub1akvNoQ,"{""https://en.wikipedia.org/wiki/Hip_hop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/-H1JwiX7KLo/hqdefault.jpg
UC7VGn2wP4tP-bBPOTTlqb0Q,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/7UEzIdqBBhg/hqdefault.jpg
UCc-qXFBgrl35Pisi0pG80xg,"{""https://en.wikipedia.org/wiki/Pop_music"",""https://en.wikipedia.org/wiki/Music"",""https://en.wikipedia.org/wiki/Music_of_Asia""}",https://img.youtube.com/vi/sck5G9Vdhos/hqdefault.jpg
UCCsKbsNSLRL_dj5TNO1MQSQ,"{""https://en.wikipedia.org/wiki/Food"",""https://en.wikipedia.org/wiki/Lifestyle_(sociology)""}",https://img.youtube.com/vi/g6IvIztk6sQ/hqdefault.jpg
UCglA012N--MjAWWGB_CQg9A,"{""https://en.wikipedia.org/wiki/Association_football"",""https://en.wikipedia.org/wiki/Video_game_culture"",""https://en.wikipedia.org/wiki/Sports_game"",""https://en.wikipedia.org/wiki/Sport""}",https://img.youtube.com/vi/TSn9Rgs2jT0/hqdefault.jpg
UClrU5yrMjfVwm-zrAiaimlQ,"{""https://en.wikipedia.org/wiki/Lifestyle_(sociology)"",""https://en.wikipedia.org/wiki/Music_of_Asia"",""https://en.wikipedia.org/wiki/Music""}",https://img.youtube.com/vi/dydyKMXSJA4/hqdefault.jpg
UCIyG78xaSVRxV5rBSUPWP2g,"{""https://en.wikipedia.org/wiki/Sports_game"",""https://en.wikipedia.org/wiki/Video_game_culture""}",https://img.youtube.com/vi/E_37Vz-H20Y/hqdefault.jpg
UCKr6GGmMDTR2H69liIDoSaQ,"{""https://en.wikipedia.org/wiki/Society""}",https://img.youtube.com/vi/dXW_U3fBEqA/hqdefault.jpg
